restaurant_id,state,chain,period,post,fte,wage_st,treated
30,PA,KFC,after,1,7.5,5.05,1
31,PA,KFC,before,0,15.0,5.25,1
31,PA,KFC,after,1,18.5,5.05,1
32,PA,Roys,before,0,23.25,4.5,1
32,PA,Roys,after,1,17.5,5.05,1
33,PA,Roys,before,0,26.0,5.0,1
33,PA,Roys,after,1,16.5,5.05,1
34,PA,Roys,before,0,15.5,4.95,1
34,PA,Roys,after,1,17.5,5.05,1
35,PA,Wendys,before,0,32.25,4.5,1
35,PA,Wendys,after,1,25.0,5.05,1
36,PA,Wendys,before,0,18.0,5.5,1
36,PA,Wendys,after,1,33.5,5.05,1
37,NJ,BK,before,0,32.5,4.25,0
37,NJ,BK,after,1,25.5,4.25,0
38,PA,BK,before,0,30.0,4.25,1
38,PA,BK,after,1,26.0,5.05,1
39,NJ,BK,before,0,19.0,4.25,0
39,NJ,BK,after,1,15.5,,0
40,NJ,BK,before,0,27.0,4.25,0
40,NJ,BK,after,1,25.5,4.25,0
41,NJ,BK,before,0,19.5,4.25,0
41,NJ,BK,after,1,27.0,4.25,0
42,NJ,BK,before,0,24.0,4.5,0
42,NJ,BK,after,1,16.0,4.25,0
45,NJ,BK,before,0,18.0,4.25,0
45,NJ,BK,after,1,19.0,4.25,0
46,NJ,BK,before,0,40.5,,0
46,NJ,BK,after,1,24.0,4.3,0
47,NJ,BK,before,0,,4.5,0
47,NJ,BK,after,1,24.5,4.25,0
48,NJ,BK,before,0,19.0,4.25,0
48,NJ,BK,after,1,25.0,4.38,0
49,NJ,KFC,before,0,13.75,,0
49,NJ,KFC,after,1,11.5,4.45,0
50,NJ,KFC,before,0,14.0,4.5,0
50,NJ,KFC,after,1,17.0,4.75,0
51,NJ,KFC,before,0,10.5,4.25,0
51,NJ,KFC,after,1,16.5,4.25,0
56,NJ,Wendys,before,0,34.0,5.0,0
56,NJ,Wendys,after,1,20.0,5.25,0
57,NJ,Wendys,before,0,38.0,4.67,0
57,NJ,Wendys,after,1,20.0,4.5,0
58,NJ,Wendys,before,0,23.5,4.75,0
58,NJ,Wendys,after,1,18.0,4.5,0
59,NJ,Wendys,before,0,10.5,4.25,0
59,NJ,Wendys,after,1,12.0,4.25,0
60,NJ,Wendys,before,0,25.0,4.25,0
60,NJ,Wendys,after,1,25.0,4.25,0
61,NJ,Wendys,before,0,24.0,5.5,0
61,NJ,Wendys,after,1,35.5,4.75,0
62,NJ,Wendys,before,0,20.5,5.0,0
62,NJ,Wendys,after,1,,,0
63,PA,BK,before,0,,4.25,1
63,PA,BK,after,1,24.0,5.05,1
64,PA,BK,before,0,30.5,4.5,1
64,PA,BK,after,1,22.5,5.05,1
65,PA,BK,before,0,14.0,4.8,1
66,PA,BK,before,0,27.0,4.25,1
66,PA,BK,after,1,35.0,5.05,1
67,PA,BK,before,0,18.5,4.5,1
67,PA,BK,after,1,17.75,5.05,1
68,PA,BK,before,0,38.0,4.25,1
68,PA,BK,after,1,24.5,5.05,1
69,PA,BK,before,0,16.5,4.25,1
69,PA,BK,after,1,16.5,5.05,1
70,PA,BK,before,0,50.0,4.5,1
70,PA,BK,after,1,30.0,5.05,1
71,PA,BK,before,0,20.5,4.75,1
71,PA,BK,after,1,39.0,5.05,1
73,PA,KFC,before,0,6.5,4.25,1
73,PA,KFC,after,1,17.0,5.05,1
75,PA,KFC,before,0,13.5,4.25,1
75,PA,KFC,after,1,12.5,5.05,1
76,PA,Roys,before,0,28.0,4.25,1
76,PA,Roys,after,1,38.5,5.05,1
77,PA,Roys,before,0,35.0,5.0,1
77,PA,Roys,after,1,37.0,5.05,1
78,PA,Roys,before,0,21.0,5.0,1
78,PA,Roys,after,1,18.0,5.05,1
79,PA,Roys,before,0,21.5,4.5,1
79,PA,Roys,after,1,20.0,5.05,1
80,PA,Wendys,before,0,,4.25,1
80,PA,Wendys,after,1,21.0,5.05,1
81,PA,Wendys,before,0,34.5,5.0,1
81,PA,Wendys,after,1,26.5,5.05,1
82,PA,Wendys,before,0,18.25,5.0,1
82,PA,Wendys,after,1,33.0,5.05,1
83,PA,Wendys,before,0,24.5,5.0,1
83,PA,Wendys,after,1,,5.05,1
84,PA,BK,before,0,24.0,4.5,1
84,PA,BK,after,1,32.0,5.05,1
85,PA,BK,before,0,20.0,5.5,1
85,PA,BK,after,1,20.5,5.05,1
86,PA,BK,before,0,20.5,4.25,1
86,PA,BK,after,1,19.0,5.05,1
87,PA,BK,before,0,,4.5,1
87,PA,BK,after,1,20.0,5.05,1
88,PA,BK,before,0,23.5,4.25,1
88,PA,BK,after,1,26.5,5.05,1
89,PA,BK,before,0,16.0,5.0,1
89,PA,BK,after,1,24.5,5.5,1
91,PA,BK,before,0,23.0,4.25,1
91,PA,BK,after,1,19.0,5.05,1
92,PA,BK,before,0,17.0,4.25,1
92,PA,BK,after,1,20.0,5.05,1
93,PA,BK,before,0,20.5,4.25,1
93,PA,BK,after,1,22.5,5.05,1
94,PA,KFC,before,0,17.5,5.0,1
94,PA,KFC,after,1,16.0,5.05,1
95,PA,KFC,before,0,23.5,4.25,1
95,PA,KFC,after,1,10.0,5.05,1
96,PA,KFC,before,0,9.5,4.25,1
96,PA,KFC,after,1,12.5,5.05,1
97,PA,KFC,before,0,10.0,4.25,1
97,PA,KFC,after,1,11.0,5.05,1
98,PA,KFC,before,0,14.0,4.25,1
98,PA,KFC,after,1,12.5,5.05,1
99,PA,Roys,before,0,85.0,4.75,1
99,PA,Roys,after,1,59.0,5.05,1
101,PA,Roys,before,0,15.0,4.75,1
101,PA,Roys,after,1,19.0,5.05,1
102,PA,Roys,before,0,21.5,4.4,1
102,PA,Roys,after,1,15.5,5.05,1
103,PA,Wendys,before,0,20.5,5.0,1
103,PA,Wendys,after,1,,5.05,1
104,PA,Wendys,before,0,53.0,4.62,1
104,PA,Wendys,after,1,19.0,5.05,1
105,PA,BK,before,0,24.0,4.25,1
105,PA,BK,after,1,26.5,5.05,1
106,PA,BK,before,0,20.5,4.25,1
106,PA,BK,after,1,17.5,5.05,1
107,PA,BK,before,0,14.5,4.25,1
107,PA,BK,after,1,20.5,5.05,1
108,PA,BK,before,0,25.0,4.25,1
108,PA,BK,after,1,28.0,5.05,1
111,PA,Roys,before,0,27.0,4.25,1
111,PA,Roys,after,1,30.25,5.05,1
112,PA,Wendys,before,0,20.0,5.0,1
112,PA,Wendys,after,1,23.5,5.05,1
113,PA,BK,before,0,15.0,,1
113,PA,BK,after,1,27.0,5.05,1
114,PA,BK,before,0,22.5,4.75,1
114,PA,BK,after,1,44.0,5.25,1
115,PA,BK,before,0,36.5,4.75,1
115,PA,BK,after,1,17.5,5.05,1
116,PA,BK,before,0,17.25,4.25,1
116,PA,BK,after,1,31.0,5.05,1
118,PA,BK,before,0,21.5,4.25,1
118,PA,BK,after,1,31.0,5.05,1
119,PA,BK,before,0,24.5,4.75,1
119,PA,BK,after,1,28.5,5.05,1
120,PA,BK,before,0,19.0,4.5,1
120,PA,BK,after,1,19.0,5.05,1
122,PA,BK,before,0,25.0,4.25,1
122,PA,BK,after,1,41.0,5.05,1
123,PA,BK,before,0,15.0,,1
123,PA,BK,after,1,21.5,5.05,1
124,PA,BK,before,0,16.0,4.25,1
124,PA,BK,after,1,28.0,5.05,1
125,PA,KFC,before,0,19.0,4.5,1
125,PA,KFC,after,1,9.5,5.05,1
128,PA,KFC,before,0,12.25,5.0,1
128,PA,KFC,after,1,13.0,5.05,1
129,PA,Roys,before,0,33.0,5.25,1
129,PA,Roys,after,1,20.0,5.05,1
130,PA,Roys,before,0,22.75,4.5,1
130,PA,Roys,after,1,25.0,5.05,1
131,PA,Roys,before,0,31.5,5.5,1
131,PA,Roys,after,1,22.0,5.05,1
132,PA,Roys,before,0,35.0,4.5,1
132,PA,Roys,after,1,28.0,5.5,1
133,PA,Roys,before,0,16.0,4.75,1
133,PA,Roys,after,1,16.0,5.05,1
134,PA,Roys,before,0,21.0,4.62,1
134,PA,Roys,after,1,22.75,5.05,1
135,PA,Roys,before,0,24.0,,1
135,PA,Roys,after,1,23.0,5.05,1
136,PA,Roys,before,0,26.75,4.25,1
137,PA,Roys,before,0,30.5,4.25,1
137,PA,Roys,after,1,32.0,5.05,1
138,PA,Roys,before,0,19.25,,1
138,PA,Roys,after,1,21.5,5.05,1
139,PA,Wendys,before,0,,5.5,1
139,PA,Wendys,after,1,28.5,5.5,1
140,PA,Wendys,before,0,23.0,4.5,1
140,PA,Wendys,after,1,27.5,5.67,1
141,PA,Wendys,before,0,21.5,4.75,1
141,PA,Wendys,after,1,25.5,5.05,1
142,PA,Wendys,before,0,36.5,4.25,1
142,PA,Wendys,after,1,60.5,5.05,1
143,PA,Wendys,before,0,18.0,5.37,1
144,PA,Wendys,before,0,28.0,5.05,1
144,PA,Wendys,after,1,25.5,5.05,1
145,PA,BK,before,0,16.5,5.0,1
145,PA,BK,after,1,18.0,5.28,1
146,PA,BK,before,0,23.0,4.8,1
146,PA,BK,after,1,20.5,5.05,1
147,PA,BK,before,0,14.75,5.12,1
147,PA,BK,after,1,9.0,5.25,1
148,PA,BK,before,0,23.5,5.25,1
148,PA,BK,after,1,26.5,5.05,1
149,PA,BK,before,0,14.0,4.5,1
149,PA,BK,after,1,16.0,5.05,1
150,PA,BK,before,0,17.25,4.67,1
150,PA,BK,after,1,25.0,5.75,1
151,PA,BK,before,0,10.0,5.0,1
152,PA,BK,before,0,46.5,5.12,1
152,PA,BK,after,1,23.75,5.05,1
153,PA,BK,before,0,21.5,,1
153,PA,BK,after,1,34.5,5.05,1
156,PA,BK,before,0,18.5,4.87,1
156,PA,BK,after,1,13.0,5.05,1
157,PA,KFC,before,0,15.5,5.0,1
157,PA,KFC,after,1,18.0,5.5,1
158,PA,KFC,before,0,8.5,4.5,1
158,PA,KFC,after,1,9.0,5.05,1
159,PA,KFC,before,0,14.0,4.5,1
159,PA,KFC,after,1,16.5,5.25,1
161,PA,Roys,before,0,24.5,5.0,1
161,PA,Roys,after,1,36.0,5.05,1
162,PA,Roys,before,0,23.0,4.75,1
162,PA,Roys,after,1,21.0,5.05,1
163,PA,Roys,before,0,24.0,5.0,1
163,PA,Roys,after,1,21.0,5.05,1
164,PA,Roys,before,0,23.0,5.0,1
164,PA,Roys,after,1,15.5,5.05,1
165,PA,Wendys,before,0,28.0,5.0,1
165,PA,Wendys,after,1,22.5,5.05,1
166,PA,Wendys,before,0,29.0,4.75,1
166,PA,Wendys,after,1,21.5,5.05,1
168,PA,BK,before,0,19.0,4.25,1
168,PA,BK,after,1,20.0,5.25,1
169,PA,BK,before,0,32.5,5.0,1
169,PA,BK,after,1,27.0,5.05,1
170,PA,BK,before,0,23.0,5.0,1
170,PA,BK,after,1,34.0,5.05,1
171,PA,BK,before,0,21.0,4.25,1
171,PA,BK,after,1,21.25,5.05,1
172,PA,BK,before,0,17.0,4.75,1
172,PA,BK,after,1,21.5,5.05,1
173,PA,BK,before,0,36.0,4.85,1
173,PA,BK,after,1,31.0,5.05,1
174,PA,BK,before,0,25.0,4.75,1
174,PA,BK,after,1,33.0,5.05,1
176,PA,BK,before,0,29.5,4.62,1
176,PA,BK,after,1,37.75,5.05,1
178,PA,KFC,before,0,22.0,4.25,1
178,PA,KFC,after,1,9.0,5.05,1
179,PA,KFC,before,0,11.0,4.25,1
179,PA,KFC,after,1,11.0,5.05,1
180,PA,KFC,before,0,13.5,4.5,1
180,PA,KFC,after,1,12.75,5.05,1
181,PA,KFC,before,0,9.5,,1
181,PA,KFC,after,1,10.5,5.05,1
182,PA,KFC,before,0,13.5,4.5,1
182,PA,KFC,after,1,10.5,5.05,1
183,PA,KFC,before,0,18.0,4.62,1
183,PA,KFC,after,1,22.0,5.05,1
185,PA,KFC,before,0,9.5,4.5,1
185,PA,KFC,after,1,8.0,5.05,1
186,PA,Roys,before,0,24.0,4.75,1
186,PA,Roys,after,1,25.0,5.05,1
187,PA,Roys,before,0,17.0,5.62,1
187,PA,Roys,after,1,16.75,5.05,1
189,PA,Roys,before,0,14.5,4.75,1
189,PA,Roys,after,1,12.5,5.05,1
190,PA,Roys,before,0,30.0,5.0,1
190,PA,Roys,after,1,26.0,5.05,1
191,PA,Wendys,before,0,44.0,,1
191,PA,Wendys,after,1,16.5,5.05,1
192,PA,Wendys,before,0,29.0,4.87,1
192,PA,Wendys,after,1,22.5,5.25,1
193,PA,Wendys,before,0,10.5,4.5,1
193,PA,Wendys,after,1,11.5,5.05,1
195,PA,Wendys,before,0,18.0,4.25,1
195,PA,Wendys,after,1,23.5,5.05,1
196,PA,Wendys,before,0,21.5,5.0,1
196,PA,Wendys,after,1,18.0,5.05,1
197,PA,BK,before,0,32.0,5.0,1
197,PA,BK,after,1,20.5,5.05,1
198,PA,BK,before,0,,4.25,1
198,PA,BK,after,1,30.0,5.05,1
199,PA,KFC,before,0,9.0,4.35,1
199,PA,KFC,after,1,16.5,5.05,1
200,PA,BK,before,0,33.0,4.25,1
200,PA,BK,after,1,29.0,5.05,1
201,PA,BK,before,0,19.5,4.5,1
201,PA,BK,after,1,30.0,5.05,1
202,PA,BK,before,0,41.0,4.25,1
202,PA,BK,after,1,22.5,5.05,1
203,PA,BK,before,0,17.0,4.25,1
203,PA,BK,after,1,24.0,5.05,1
204,PA,BK,before,0,18.25,4.25,1
204,PA,BK,after,1,21.75,5.05,1
207,PA,KFC,before,0,17.0,4.75,1
207,PA,KFC,after,1,13.5,5.2,1
208,PA,Roys,before,0,32.0,4.62,1
208,PA,Roys,after,1,24.0,5.05,1
209,PA,Roys,before,0,26.0,4.25,1
209,PA,Roys,after,1,28.5,5.05,1
210,PA,Wendys,before,0,11.5,4.5,1
210,PA,Wendys,after,1,10.0,5.05,1
211,PA,BK,before,0,21.0,4.5,1
211,PA,BK,after,1,23.5,5.05,1
212,PA,BK,before,0,22.75,4.5,1
212,PA,BK,after,1,30.5,5.05,1
213,PA,BK,before,0,18.5,4.55,1
213,PA,BK,after,1,24.75,5.05,1
214,PA,BK,before,0,20.0,4.62,1
214,PA,BK,after,1,22.5,5.05,1
215,PA,BK,before,0,18.0,4.5,1
215,PA,BK,after,1,28.0,5.05,1
216,PA,KFC,before,0,10.5,4.25,1
216,PA,KFC,after,1,14.0,5.05,1
217,PA,KFC,before,0,10.5,4.25,1
217,PA,KFC,after,1,9.0,5.05,1
218,PA,KFC,before,0,11.0,4.35,1
218,PA,KFC,after,1,9.5,5.05,1
219,PA,KFC,before,0,10.5,4.25,1
219,PA,KFC,after,1,15.5,5.05,1
220,PA,KFC,before,0,12.5,4.25,1
220,PA,KFC,after,1,12.0,5.05,1
221,PA,KFC,before,0,18.0,4.6,1
221,PA,KFC,after,1,11.5,5.05,1
222,PA,Roys,before,0,17.0,4.25,1
222,PA,Roys,after,1,12.5,5.05,1
223,PA,Roys,before,0,15.0,4.75,1
223,PA,Roys,after,1,16.0,5.05,1
225,PA,Roys,before,0,19.5,4.75,1
225,PA,Roys,after,1,28.5,5.05,1
226,PA,Wendys,before,0,13.0,4.25,1
226,PA,Wendys,after,1,15.0,5.3,1
228,PA,Wendys,before,0,20.25,4.5,1
228,PA,Wendys,after,1,23.5,5.05,1
229,PA,BK,before,0,26.0,4.5,1
229,PA,BK,after,1,30.5,5.5,1
230,PA,BK,before,0,15.5,4.25,1
230,PA,BK,after,1,26.5,5.05,1
231,PA,BK,before,0,,,1
231,PA,BK,after,1,23.0,5.05,1
232,PA,BK,before,0,24.0,4.75,1
232,PA,BK,after,1,27.0,5.05,1
233,PA,BK,before,0,25.5,4.65,1
233,PA,BK,after,1,21.5,5.05,1
234,PA,BK,before,0,8.0,5.0,1
234,PA,BK,after,1,15.0,5.05,1
235,PA,BK,before,0,14.5,4.25,1
235,PA,BK,after,1,,5.05,1
236,PA,BK,before,0,21.0,,1
236,PA,BK,after,1,38.0,5.05,1
237,PA,BK,before,0,21.5,4.25,1
237,PA,BK,after,1,21.5,5.05,1
238,PA,KFC,before,0,14.0,4.75,1
238,PA,KFC,after,1,37.5,5.05,1
239,PA,KFC,before,0,20.0,4.25,1
239,PA,KFC,after,1,11.5,5.05,1
240,PA,Roys,before,0,35.5,5.1,1
240,PA,Roys,after,1,25.5,5.05,1
241,PA,Roys,before,0,31.5,5.0,1
241,PA,Roys,after,1,,5.05,1
242,PA,Roys,before,0,33.0,5.25,1
242,PA,Roys,after,1,20.0,5.05,1
243,PA,Roys,before,0,22.5,4.5,1
243,PA,Roys,after,1,21.0,5.05,1
244,PA,Roys,before,0,30.0,4.25,1
244,PA,Roys,after,1,28.0,5.05,1
245,PA,Roys,before,0,22.0,5.5,1
245,PA,Roys,after,1,18.0,5.05,1
247,PA,Wendys,before,0,24.0,4.5,1
247,PA,Wendys,after,1,24.0,5.05,1
248,PA,Wendys,before,0,22.0,4.75,1
248,PA,Wendys,after,1,23.0,5.05,1
249,PA,BK,before,0,13.0,4.37,1
249,PA,BK,after,1,19.0,5.05,1
250,PA,KFC,before,0,5.0,4.5,1
250,PA,KFC,after,1,7.0,5.05,1
253,PA,Roys,before,0,13.5,4.87,1
253,PA,Roys,after,1,14.0,5.05,1
254,PA,Wendys,before,0,28.0,,1
254,PA,Wendys,after,1,36.0,5.25,1
255,PA,Wendys,before,0,10.0,,1
255,PA,Wendys,after,1,16.0,,1
257,PA,BK,before,0,28.0,4.25,1
258,PA,BK,before,0,18.0,4.25,1
258,PA,BK,after,1,32.0,5.05,1
259,PA,BK,before,0,23.0,5.0,1
259,PA,BK,after,1,26.5,5.05,1
260,PA,BK,before,0,24.0,4.25,1
260,PA,BK,after,1,22.0,5.05,1
262,PA,BK,before,0,16.5,4.25,1
262,PA,BK,after,1,14.25,5.05,1
264,PA,BK,before,0,7.0,4.25,1
264,PA,BK,after,1,16.5,5.05,1
265,PA,BK,before,0,11.0,4.25,1
267,PA,BK,before,0,19.5,4.25,1
267,PA,BK,after,1,47.5,5.05,1
268,PA,BK,before,0,23.0,5.0,1
268,PA,BK,after,1,23.25,5.05,1
269,PA,KFC,before,0,10.0,4.45,1
269,PA,KFC,after,1,15.5,5.05,1
271,PA,KFC,before,0,8.5,5.0,1
271,PA,KFC,after,1,10.5,5.05,1
272,PA,KFC,before,0,12.5,5.05,1
272,PA,KFC,after,1,12.0,5.25,1
273,PA,KFC,before,0,13.0,4.62,1
273,PA,KFC,after,1,10.5,5.05,1
274,PA,KFC,before,0,9.5,5.5,1
274,PA,KFC,after,1,9.5,5.05,1
275,PA,KFC,before,0,10.0,4.25,1
275,PA,KFC,after,1,7.0,5.05,1
276,PA,KFC,before,0,13.0,5.0,1
276,PA,KFC,after,1,15.5,5.05,1
277,PA,KFC,before,0,12.5,4.25,1
277,PA,KFC,after,1,11.0,5.05,1
278,PA,KFC,before,0,8.0,4.25,1
278,PA,KFC,after,1,8.5,5.05,1
282,PA,Roys,before,0,12.0,4.25,1
284,PA,Roys,before,0,20.5,4.5,1
284,PA,Roys,after,1,15.0,5.05,1
285,PA,Roys,before,0,18.5,4.75,1
285,PA,Roys,after,1,13.5,5.05,1
286,PA,Roys,before,0,11.5,4.75,1
286,PA,Roys,after,1,12.5,5.05,1
287,PA,Roys,before,0,15.0,4.5,1
287,PA,Roys,after,1,12.5,5.05,1
288,PA,Roys,before,0,13.0,4.75,1
288,PA,Roys,after,1,12.5,5.05,1
289,PA,Roys,before,0,10.0,4.25,1
289,PA,Roys,after,1,10.0,5.05,1
290,PA,Wendys,before,0,17.0,4.75,1
290,PA,Wendys,after,1,13.5,5.05,1
291,PA,Wendys,before,0,17.0,4.55,1
291,PA,Wendys,after,1,16.0,5.1,1
292,PA,Wendys,before,0,20.5,4.8,1
292,PA,Wendys,after,1,23.5,5.05,1
294,PA,BK,before,0,20.5,,1
294,PA,BK,after,1,20.5,5.05,1
295,PA,BK,before,0,15.5,4.75,1
295,PA,BK,after,1,,5.05,1
296,PA,BK,before,0,17.0,5.3,1
296,PA,BK,after,1,14.5,5.05,1
297,PA,BK,before,0,19.5,4.25,1
297,PA,BK,after,1,34.0,5.05,1
299,PA,KFC,before,0,9.0,5.0,1
299,PA,KFC,after,1,14.0,5.05,1
301,PA,KFC,before,0,19.0,5.0,1
301,PA,KFC,after,1,6.5,5.05,1
303,PA,Roys,before,0,30.5,4.35,1
303,PA,Roys,after,1,32.5,5.05,1
304,PA,Roys,before,0,23.0,4.5,1
304,PA,Roys,after,1,21.5,5.05,1
305,PA,Roys,before,0,13.0,4.39,1
305,PA,Roys,after,1,20.0,5.05,1
306,PA,Roys,before,0,25.5,,1
306,PA,Roys,after,1,19.0,5.05,1
307,PA,Roys,before,0,30.25,4.25,1
307,PA,Roys,after,1,43.5,5.2,1
310,PA,Wendys,before,0,18.0,4.25,1
310,PA,Wendys,after,1,17.5,5.05,1
311,PA,Wendys,before,0,19.0,,1
311,PA,Wendys,after,1,53.0,5.05,1
312,PA,BK,before,0,10.0,4.25,1
312,PA,BK,after,1,7.0,5.05,1
313,PA,BK,before,0,19.5,4.5,1
313,PA,BK,after,1,,5.05,1
314,PA,BK,before,0,17.0,4.62,1
314,PA,BK,after,1,22.0,5.25,1
315,PA,BK,before,0,16.5,,1
315,PA,BK,after,1,16.5,5.05,1
316,PA,BK,before,0,25.5,4.62,1
316,PA,BK,after,1,22.0,5.05,1
317,PA,BK,before,0,6.0,4.25,1
317,PA,BK,after,1,7.0,5.05,1
318,PA,KFC,before,0,11.5,4.75,1
318,PA,KFC,after,1,14.0,5.05,1
319,PA,KFC,before,0,8.5,4.62,1
319,PA,KFC,after,1,27.0,5.05,1
320,PA,KFC,before,0,11.5,5.0,1
320,PA,KFC,after,1,10.0,5.05,1
321,PA,KFC,before,0,13.0,5.0,1
321,PA,KFC,after,1,11.5,5.05,1
322,PA,Roys,before,0,18.5,4.75,1
322,PA,Roys,after,1,18.5,5.05,1
324,PA,Roys,before,0,48.0,5.25,1
324,PA,Roys,after,1,46.5,5.05,1
325,PA,Roys,before,0,15.5,4.5,1
325,PA,Roys,after,1,11.5,5.05,1
326,PA,Roys,before,0,45.5,5.15,1
326,PA,Roys,after,1,26.5,5.05,1
330,PA,Wendys,before,0,15.0,5.42,1
330,PA,Wendys,after,1,16.0,5.67,1
333,PA,BK,before,0,14.25,4.25,1
333,PA,BK,after,1,16.0,5.05,1
334,PA,BK,before,0,18.0,5.0,1
334,PA,BK,after,1,13.0,5.05,1
335,PA,BK,before,0,17.0,,1
335,PA,BK,after,1,16.5,5.05,1
336,PA,BK,before,0,38.0,4.5,1
336,PA,BK,after,1,25.0,5.05,1
337,PA,BK,before,0,24.75,4.87,1
337,PA,BK,after,1,30.5,5.05,1
339,PA,BK,before,0,23.0,4.25,1
339,PA,BK,after,1,11.5,5.05,1
340,PA,BK,before,0,24.0,4.25,1
340,PA,BK,after,1,25.5,5.05,1
341,PA,KFC,before,0,7.5,4.62,1
341,PA,KFC,after,1,9.5,5.05,1
343,PA,KFC,before,0,15.0,4.75,1
343,PA,KFC,after,1,11.5,5.05,1
346,PA,KFC,before,0,9.25,4.25,1
346,PA,KFC,after,1,12.0,,1
348,PA,Roys,before,0,11.25,4.25,1
349,PA,Roys,before,0,21.0,5.0,1
349,PA,Roys,after,1,14.0,5.05,1
350,PA,Roys,before,0,16.5,4.75,1
350,PA,Roys,after,1,17.0,5.05,1
351,PA,Roys,before,0,18.75,4.25,1
351,PA,Roys,after,1,24.0,5.05,1
352,PA,Roys,before,0,13.5,4.75,1
353,PA,Roys,before,0,21.75,4.37,1
353,PA,Roys,after,1,,5.05,1
354,PA,Wendys,before,0,20.5,5.06,1
354,PA,Wendys,after,1,15.5,5.05,1
355,PA,Wendys,before,0,13.5,4.87,1
355,PA,Wendys,after,1,13.5,,1
356,PA,Wendys,before,0,20.5,5.05,1
356,PA,Wendys,after,1,18.0,5.05,1
357,PA,Wendys,before,0,17.5,5.0,1
357,PA,Wendys,after,1,27.0,5.25,1
359,PA,BK,before,0,15.0,4.25,1
359,PA,BK,after,1,17.0,5.05,1
360,PA,BK,before,0,17.5,4.25,1
360,PA,BK,after,1,28.0,5.05,1
361,PA,BK,before,0,17.5,4.25,1
361,PA,BK,after,1,21.5,5.05,1
362,PA,KFC,before,0,,4.25,1
362,PA,KFC,after,1,30.0,5.05,1
363,PA,KFC,before,0,15.5,4.25,1
363,PA,KFC,after,1,19.5,5.2,1
364,PA,KFC,before,0,16.5,4.25,1
364,PA,KFC,after,1,20.0,5.05,1
366,PA,Roys,before,0,13.5,4.5,1
366,PA,Roys,after,1,14.5,5.05,1
368,PA,Wendys,before,0,13.0,4.25,1
368,PA,Wendys,after,1,14.5,5.05,1
369,PA,BK,before,0,11.5,4.35,1
370,PA,BK,before,0,29.05,4.85,1
370,PA,BK,after,1,31.5,5.05,1
371,PA,BK,before,0,27.5,5.0,1
371,PA,BK,after,1,27.0,5.25,1
372,PA,BK,before,0,27.5,,1
372,PA,BK,after,1,45.0,5.05,1
373,PA,BK,before,0,24.0,5.0,1
373,PA,BK,after,1,29.5,5.05,1
375,PA,BK,before,0,34.0,5.25,1
375,PA,BK,after,1,16.5,5.5,1
376,PA,BK,before,0,13.0,4.5,1
376,PA,BK,after,1,11.5,5.05,1
377,PA,BK,before,0,18.0,4.25,1
377,PA,BK,after,1,20.0,5.05,1
378,PA,BK,before,0,18.0,5.0,1
378,PA,BK,after,1,31.5,5.05,1
379,PA,BK,before,0,30.0,4.62,1
